// Montgomery CC
// Club ID:  438
// Events:  34
// Date:  Saturday, July 11, 2015
// 
43815041609437;4/16/2015 09:00:00 AM;Away;MANOR CC;$57;9:00 AM;4/12/2015 12:00:00 PM;(240) 912-9529;0;;;4/3/2015 09:00:00 AM
43815042109232;4/21/2015 09:00:00 AM;Away;MUSKET RIDGE GC;$46;9:00 AM;4/17/2015 12:00:00 PM;(240) 912-9529;0;R89;;4/10/2015 09:00:00 AM
43815050509438;5/5/2015 09:00:00 AM;Home;LEISURE WORLD, HOBBITS;$46;9:00 AM;5/3/2015 17:00:00 PM;(240) 912-9529;0;R100;;4/24/2015 09:00:00 AM
43815051309631;5/13/2015 09:00:00 AM;Away;US NAVAL ACADEMY GC;45;9:00 AM;5/10/2015 17:00:00 PM;(240) 912-9529;20;Cash only;;5/1/2015 09:00:00 AM
43815052009627;5/20/2015 09:00:00 AM;Away;PATUXENT GREENS GC;$46;9:00 AM;5/17/2015 12:00:00 PM;(240) 912-9529;0;;;5/8/2015 09:00:00 AM
43815052609438;5/26/2015 09:00:00 AM;Home;MUSKET RIDGE GC, HOLLY HILLS CC, TIMBERS AT TROY GC, CROFTON CC;$46;9:00 AM;5/22/2015 17:00:00 PM;(240) 912-9529;0;R100;;5/15/2015 09:00:00 AM
43815052708442;5/27/2015 08:30:00 AM;Away;BRETTON WOODS;$50;8:30 AM;5/24/2015 12:00:00 PM;(240) 912-9529;0;;;5/15/2015 09:00:00 AM
43815060209438;6/2/2015 09:00:00 AM;Home;NORBECK CC, BRETTON WOODS, HOBBIT'S GLEN GC, MANOR CC;$46;9:00 AM;5/31/2015 17:00:00 PM;(240) 912-9529;0;R100;;5/22/2015 09:00:00 AM
43815060909438;6/9/2015 09:00:00 AM;Home;2-Man Qualifier - Montgomery;$50.;9:00 AM;6/1/2015 12:00:00 PM;(240) 912-9529;12;;;5/4/2015 09:00:00 AM
43815061109645;6/11/2015 09:00:00 AM;Away;CROSS CREEK GC;$45;9:00 AM;6/7/2015 12:00:00 PM;(240) 912-9529;0;;;5/29/2015 09:00:00 AM
43815061609435;6/16/2015 09:00:00 AM;Away;KENWOOD CC;$50;9:00 AM;6/14/2015 12:00:00 PM;(240) 912-9529;30;;;6/5/2015 09:00:00 AM
43815062308214;6/23/2015 08:30:00 AM;Away;BEAVER CREEK CC;40;8:30 AM;6/20/2015 12:00:00 PM;(240) 912-9529;0;;;6/12/2015 09:00:00 AM
43815063009438;6/30/2015 09:00:00 AM;Home;BRETTON WOODS, KENWOOD CC, UNIVERSITY OF MARYLAND GC;$46;9:00 AM;6/28/2015 17:00:00 PM;(240) 912-9529;0;R100;;6/19/2015 09:00:00 AM
43815070109442;7/1/2015 09:00:00 AM;Away;ABCD Qualifier - Bretton Woods;60;9:00 AM;6/21/2015 12:00:00 PM;(240) 912-9529;11;;;6/15/2015 09:00:00 AM
43815070708647;7/7/2015 08:30:00 AM;Away;Timbers at Troy GC;$45;8:30 AM;7/2/2015 12:00:00 PM;(240) 912-9529;15;;;6/26/2015 09:00:00 AM
43815070809441;7/8/2015 09:00:00 AM;Away;Leisure World;$40;9:00 AM;7/6/2015 12:00:00 PM;(240) 912-9529;0;R100;;6/26/2015 09:00:00 AM
43815071409438;7/14/2015 09:00:00 AM;Home;Bowie G&CC, Musket Ridge GC;$46;9:00 AM;7/12/2015 17:00:00 PM;(240) 912-9529;0;R100;;7/3/2015 09:00:00 AM
43815071609434;7/16/2015 09:00:00 AM;Away;HOBBIT'S GLEN GC;$50;9:00 AM;7/12/2015 12:00:00 PM;(240) 912-9529;25;;;7/3/2015 09:00:00 AM
43815072309440;7/23/2015 09:00:00 AM;Away;NORBECK CC;$49;9:00 AM;7/21/2015 12:00:00 PM;(240) 912-9529;0;;;7/10/2015 09:00:00 AM
43815072808232;7/28/2015 08:30:00 AM;Away;MUSKET RIDGE GC;$46;8:30 AM;7/24/2015 12:00:00 PM;(240) 912-9529;0;R89;;7/10/2015 09:00:00 AM
43815073008224;7/30/2015 08:30:00 AM;Away;GLADE VALLEY GC;$40*;8:30 AM;7/26/2015 12:00:00 PM;(240) 912-9529;0;;;7/10/2015 09:00:00 AM
43815080409438;8/4/2015 09:00:00 AM;Home;BRETTON WOODS, COMPASS POINTE GC, GLADE VALLEY GC, NAVAL ACADEMY GC;$46;9:00 AM;8/2/2015 17:00:00 PM;(240) 912-9529;0;R100;;7/17/2015 09:00:00 AM
43815080509216;8/5/2015 09:00:00 AM;Away;HOLLY HILLS CC;$50*;9:00 AM;8/3/2015 17:00:00 PM;(240) 912-9529;0;R89;;7/17/2015 09:00:00 AM
43815081208630;8/12/2015 08:30:00 AM;Away;UNIVERSITY OF MARYLAND GC;$49;8:30 AM;8/9/2015 12:00:00 PM;(240) 912-9529;0;R95;;7/24/2015 09:00:00 AM
43815081809438;8/18/2015 09:00:00 AM;Home;MUSKET RIDGE GC, FOUNTAIN HEAD CC, NATIONAL GC AT TANTALLON, PATUXENT GREENS GC;$46;9:00 AM;8/16/2015 17:00:00 PM;(240) 912-9529;0;R100;;7/31/2015 09:00:00 AM
43815082709233;8/27/2015 09:00:00 AM;Away;FOUNTAIN HEAD CC;$47;9:00 AM;8/25/2015 17:00:00 PM;(240) 912-9529;20;;;8/14/2015 09:00:00 AM
43815090109438;9/1/2015 09:00:00 AM;Home;LINKS AT CHALLEDON, RATTLEWOOD GC, WESTMINSTER NATIONAL GC;$46;9:00 AM;8/30/2015 17:00:00 PM;(240) 912-9529;0;R100;;8/21/2015 09:00:00 AM
43815090209629;9/2/2015 09:00:00 AM;Away;NATIONAL GC AT TANTALLON;$45;9:00 AM;8/31/2015 12:00:00 PM;(240) 912-9529;0;;;8/21/2015 09:00:00 AM
43815090809625;9/8/2015 09:00:00 AM;Away;CROFTON CC;$45;9:00 AM;9/5/2015 12:00:00 PM;(240) 912-9529;0;2 Flights;;8/28/2015 09:00:00 AM
43815090908641;9/9/2015 08:30:00 AM;Away;BOWIE G&CC;$45;8:30 AM;9/6/2015 12:00:00 PM;(240) 912-9529;16;;;8/28/2015 09:00:00 AM
43815091608230;9/16/2015 08:30:00 AM;Away;LINKS AT CHALLEDON;$38;8:30 AM;9/13/2015 17:00:00 PM;(240) 912-9529;30;;;9/4/2015 09:00:00 AM
43815093008229;9/30/2015 08:30:00 AM;Away;RATTLEWOOD GC;tbd;8:30 AM;9/27/2015 12:00:00 PM;(240) 912-9529;0;;;9/18/2015 09:00:00 AM
43815100609438;10/6/2015 09:00:00 AM;Home;CROSS CREEK GC, RATTLEWOOD GC;$46;9:00 AM;10/4/2015 17:00:00 PM;(240) 912-9529;0;R100;;9/25/2015 09:00:00 AM
43815100709646;10/7/2015 09:00:00 AM;Away;COMPASS POINTE GC;$42;9:00 AM;10/4/2015 12:00:00 PM;(240) 912-9529;25;;;10/25/2015 09:00:00 AM
// 
// End of File
