/	DEMO Schedule.txt file that can be used to load Events in Sign-up System  2015
/
99915052609438;5/26/2015 9:00:00 AM;Away;Montgomery CC;$46*;9:00 a;5/23/2015 12:00:00 PM;240-912-9529;50;R100;;4/4/2015 9:00:00 AM
99915052709216;5/27/2015 9:00:00 AM;Away;Holly Hills CC;$50*;9:00 a;5/24/2015 12:00:00 PM;301-694-7210;50;S,G;;4/4/2015 9:00:00 AM
99915073008901;7/30/2015 8:30:00 AM;Away;Waynesboro GC;tbd ;8:30 a;7/27/2015 12:00:00 PM;;;;;6/6/2015 9:00:00 AM
99915080310233;8/3/2015 10:00:00 AM;MISGA;Division II Pro-Am at Fountain Head CC;;10:00 a;7/20/2015 12:00:00 PM;;12;;;6/4/2015 9:00:00 AM
99915080408647;8/4/2015 8:30:00 AM;Away;Timbers at Troy;tbd ;8:30 a;8/1/2015 12:00:00 PM;;;;;6/13/2015 9:00:00 AM
99915080609231;8/6/2015 9:00:00 AM;Away;Cress Creek CC;$42*;9:00 a;8/3/2015 12:00:00 PM;304-876-3375, ext 1;40;;;6/13/2015 9:00:00 AM
99915081108217;8/11/2015 8:30:00 AM;Away;Hunt Valley CC;$44*;8:30 a;8/8/2015 12:00:00 PM;410-527-3304;30;;;6/20/2015 9:00:00 AM
99915081108625;8/11/2015 8:30:00 AM;Away;Crofton CC;$42*;8:30 a;8/8/2015 12:00:00 PM;;40;;;6/20/2015 9:00:00 AM
99915081112440;8/11/2015 12:00:00 PM;MISGA;State Past Presidents (ABCD) Tournament at Norbeck CC;$105;12:00 p;7/12/2015 12:00:00 PM;;12;;;6/12/2015 9:00:00 AM
99915092909999;9/29/2015 9:00:00 AM;Home;Hobbits Glen GC;$45;9:00 a;9/25/2015 12:00:00 PM;301-293-9930, x110;60;R89;;8/8/2015 9:00:00 AM
99915093008229;9/30/2015 8:30:00 AM;Away;Rattlewood GC;$36;8:30 a;9/27/2015 12:00:00 PM;301-607-9000;30;White Tees;;8/8/2015 9:00:00 AM
99915100609438;10/6/2015 9:00:00 AM;Away;Montgomery CC;$46*;9:00 a;10/3/2015 12:00:00 PM;240-912-9529;50;R100;;8/15/2015 9:00:00 AM
